=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep 114 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0003 corr 0.000
ep 115 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep 116 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0003 corr 0.000
ep 117 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 118 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0001 corr 0.000
ep 119 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 120 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep 121 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 122 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0003 corr 0.000
ep 123 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0000 corr 0.000
ep 124 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc 0.0000 corr 0.000
ep 125 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0005 corr 0.000
ep 126 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc 0.0002 corr 0.000
ep 127 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0000 corr 0.000
ep 128 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.021 acc -0.0004 corr 0.000
