epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
23,11867.4,base,1.21879,0.657353,0.971179,0.623106,0.556893,0.266099,0.73203,0.49186,0.54336,0.31259,0.7779,0.78798,0.91129,1.21437,0.64187,0.96998,0.60091,0.55018,0.271,0.005644,0.005644,0.005644
24,12632.8,super,1.20482,0.63898,0.973088,0.598644,0.552846,0.262361,0.73788,0.49529,0.54992,0.31832,0.79498,0.78456,0.91279,1.20207,0.6266,0.97209,0.571,0.5562,0.2636,0.005446,0.005446,0.005446
24,12658.1,base,1.21274,0.65303,0.970948,0.608635,0.556635,0.265407,0.63707,0.49466,0.54514,0.31354,0.79023,0.78416,0.91219,1.20856,0.63762,0.96858,0.58611,0.55733,0.26753,0.005446,0.005446,0.005446
25,13424,super,1.20533,0.637346,0.972203,0.592532,0.55291,0.263622,0.62857,0.51762,0.55115,0.31883,0.80041,0.78969,0.91259,1.208,0.63102,0.97351,0.56588,0.55107,0.25948,0.005248,0.005248,0.005248
25,13449.4,base,1.21327,0.651478,0.971037,0.601241,0.556848,0.26643,0.63692,0.49419,0.54748,0.31523,0.79487,0.78898,0.91199,1.21422,0.64085,0.97118,0.57254,0.55463,0.26313,0.005248,0.005248,0.005248
26,14215.3,super,1.19692,0.630961,0.96645,0.580458,0.548423,0.261302,0.62413,0.50798,0.55277,0.31997,0.80595,0.78325,0.91269,1.20773,0.62824,0.97299,0.55908,0.55783,0.261,0.00505,0.00505,0.00505
26,14240.7,base,1.20531,0.645266,0.966566,0.589725,0.552378,0.264331,0.64106,0.49365,0.54845,0.31598,0.79973,0.78024,0.91239,1.213,0.63781,0.9709,0.57124,0.56353,0.26556,0.00505,0.00505,0.00505
27,15006.1,super,1.19553,0.627626,0.971663,0.568789,0.552868,0.256922,0.73813,0.50328,0.55237,0.31997,0.81047,0.78365,0.9132,1.20425,0.62612,0.97616,0.54879,0.5551,0.25853,0.004852,0.004852,0.004852
27,15031.4,base,1.20388,0.64307,0.969827,0.579926,0.556887,0.259675,0.62636,0.50424,0.54898,0.316,0.80233,0.78104,0.913,1.2108,0.63752,0.97245,0.56187,0.56233,0.2627,0.004852,0.004852,0.004852
28,15796.7,super,1.19412,0.625497,0.969706,0.572782,0.547503,0.256993,0.6284,0.50637,0.55311,0.32051,0.81364,0.78928,0.91279,1.20451,0.62423,0.97559,0.54604,0.54673,0.25506,0.004654,0.004654,0.004654
