epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
37,29819.3,base,1.19596,0.635008,0.966007,0.63315,0.4957,0.54843,0.31999,1.19388,0.63414,0.96473,0.0002872,0.0002872,0.0002872
38,30598.8,super,1.18176,0.611973,0.965771,0.65948,0.519,0.55624,0.3249,1.18416,0.61767,0.96717,0.0002674,0.0002674,0.0002674
38,30623.3,base,1.19566,0.634471,0.965385,0.63172,0.49586,0.54866,0.32005,1.19427,0.63383,0.96471,0.0002674,0.0002674,0.0002674
39,31403.8,super,1.18073,0.610666,0.964967,0.66861,0.51696,0.5568,0.32497,1.18269,0.61686,0.96626,0.0002476,0.0002476,0.0002476
39,31428.3,base,1.19389,0.632982,0.964002,0.67643,0.50318,0.5499,0.32104,1.1928,0.63298,0.96364,0.0002476,0.0002476,0.0002476
40,32207.7,super,1.18005,0.609562,0.961538,0.67609,0.5149,0.5556,0.32474,1.18253,0.61651,0.96448,0.0002278,0.0002278,0.0002278
40,32232.2,base,1.19332,0.63221,0.961414,0.68104,0.50353,0.55036,0.32112,1.19264,0.63287,0.96223,0.0002278,0.0002278,0.0002278
41,33012,super,1.17704,0.608142,0.959511,0.67131,0.51341,0.55586,0.32488,1.18312,0.61685,0.96328,0.000208,0.000208,0.000208
41,33036.5,base,1.19035,0.630531,0.959984,0.68301,0.50392,0.54958,0.32061,1.193,0.63319,0.96114,0.000208,0.000208,0.000208
42,33816.7,super,1.17847,0.606172,0.959417,0.65531,0.51602,0.55554,0.32407,1.18457,0.61662,0.96308,0.0001882,0.0001882,0.0001882
42,33841.3,base,1.19198,0.62904,0.959805,0.68065,0.50558,0.55011,0.32055,1.19422,0.63306,0.96101,0.0001882,0.0001882,0.0001882
43,34621.4,super,1.17667,0.605816,0.95791,0.66901,0.5093,0.55684,0.32492,1.18495,0.61685,0.96249,0.0001684,0.0001684,0.0001684
43,34646,base,1.19005,0.627985,0.958587,0.67651,0.50855,0.55092,0.32075,1.19429,0.63288,0.96055,0.0001684,0.0001684,0.0001684
44,35426.3,super,1.17501,0.604139,0.958229,0.668,0.50949,0.55667,0.3247,1.18536,0.61685,0.96275,0.0001486,0.0001486,0.0001486
44,35450.8,base,1.18839,0.627349,0.958968,0.60821,0.51255,0.54873,0.31925,1.19485,0.63293,0.96101,0.0001486,0.0001486,0.0001486
45,36230.5,super,1.17422,0.604975,0.957943,0.66845,0.50817,0.55647,0.32512,1.18573,0.61713,0.96274,0.0001288,0.0001288,0.0001288
45,36255.1,base,1.18785,0.627953,0.95911,0.60783,0.51411,0.54901,0.31952,1.19531,0.63299,0.96117,0.0001288,0.0001288,0.0001288
46,37035,super,1.17611,0.603674,0.95995,0.66826,0.50859,0.55636,0.32473,1.18604,0.61713,0.96326,0.000109,0.000109,0.000109
46,37059.5,base,1.18957,0.626844,0.960639,0.63174,0.50058,0.54899,0.3194,1.19581,0.63311,0.96177,0.000109,0.000109,0.000109
47,37839.4,super,1.17676,0.603634,0.957475,0.6671,0.50941,0.55516,0.32405,1.18613,0.61716,0.9632,8.92e-05,8.92e-05,8.92e-05
47,37863.9,base,1.1904,0.62694,0.957989,0.63207,0.50002,0.54879,0.31935,1.1958,0.63313,0.96172,8.92e-05,8.92e-05,8.92e-05
48,38643.8,super,1.17206,0.601285,0.956373,0.66628,0.51007,0.55526,0.3241,1.18637,0.61723,0.96303,6.94e-05,6.94e-05,6.94e-05
48,38668.4,base,1.18625,0.624326,0.957256,0.63237,0.49965,0.54884,0.3193,1.19596,0.63309,0.96158,6.94e-05,6.94e-05,6.94e-05
49,39447.4,super,1.17285,0.602314,0.956979,0.66758,0.51049,0.55652,0.32491,1.18658,0.61726,0.96294,4.96e-05,4.96e-05,4.96e-05
49,39472,base,1.18652,0.625186,0.957872,0.63654,0.49834,0.549,0.31932,1.19589,0.63307,0.96141,4.96e-05,4.96e-05,4.96e-05
50,40251.8,super,1.17349,0.60091,0.956805,0.66724,0.51058,0.55665,0.3249,1.18657,0.61722,0.96272,2.98e-05,2.98e-05,2.98e-05
50,40276.3,base,1.18726,0.623574,0.957937,0.63557,0.49841,0.54914,0.31928,1.19587,0.63303,0.96122,2.98e-05,2.98e-05,2.98e-05
